ident,name,sphere,rarity,type,target,overland_cost,combat_cost,upkeep,research_cost,effect_kind,description
SPELL_NIGHT_STALKER,Night Stalker,death,uncommon,Summoning Spell,--,250,0,5,560,summon,Night Stalker Realm Death Spell Properties Spell Rarity Uncommon Casting Cost 250 Upkeep Cost 1 per turn Research Cost 560 Unit Properties # of Figures 1 Moves 2 Melee Attack per figure 7 Defense per
SPELL_PESTILENCE,Pestilence,death,very rare,Town Curse,Enemy city,350,0,5,3500,flavour,"Pestilence Realm Death Spell Rarity Very Rare Spell Type Town Curse Casting Cost 350 Upkeep Cost 5 Research Cost 3,500 Effects Each turn, the game rolls a random number between 1 and 10."
SPELL_POSSESSION,Possession,death,uncommon,Unit Curse,Enemy unit,0,30,0,350,unit_enchant,"Possession Realm Death Spell Rarity Uncommon Spell Type Unit Curse Combat Cost 30 Research Cost 350 Effects If a target enemy Normal Unit or Hero fails a Resistance roll at -1 , control of this unit i"
SPELL_SHADOW_DEMONS,Shadow Demons,death,uncommon,Summoning Spell,--,325,0,7,800,summon,Shadow Demons Realm Death Spell Properties Spell Rarity Uncommon Casting Cost 325 Upkeep Cost 7 per turn Research Cost 800 Unit Properties # of Figures 4 Moves 1 Melee Attack per figure 5 Ranged Attac
SPELL_SKELETONS,Skeletons,death,common,Summoning Spell,--,25,0,1,20,summon,Skeletons Realm Death Spell Properties Spell Rarity Common Casting Cost 25 Upkeep Cost 1 per turn Research Cost 20 Unit Properties # of Figures 6 Moves 1 Melee Attack per figure 3 Defense per figure 4
SPELL_SUBVERSION,Subversion,death,uncommon,Instant Spell,Enemy wizard,100,0,0,620,instant_damage,Subversion Realm Death Spell Rarity Uncommon Spell Type Instant Spell Casting Cost 100 Research Cost 620 Effects Target wizard's Diplomatic Relations with all other wizards worsen by 25 points.
SPELL_TERROR,Terror,death,common,Combat Enchantment,--,0,20,0,190,unit_enchant,"Terror Realm Death Spell Rarity Common Spell Type Combat Enchantment Combat Cost 20 Research Cost 190 Effects At the start of each turn, each and every enemy unit must make a Resistance roll at a bonu"
SPELL_WALL_OF_DARKNESS,Wall of Darkness,death,uncommon,Town Enchantment,Friendly city,200,40,5,680,city_enchant,"Buggy Feature As of Master of Magic v1.31 , Wall of Darkness is known to be malfunctioning in at least one way. Please read the Known Bugs section below."
SPELL_WARP_NODE,Warp Node,death,rare,Instant Spell,Enemy node,75,0,0,1300,instant_damage,"Warp Node Realm Death Spell Rarity Rare Spell Type Instant Spell Casting Cost 75 Research Cost 1,300 Effects Target Node controlled by a rival wizard now produces -5 instead of the amount it was origi"
SPELL_WEAKNESS,Weakness,death,common,Unit Curse,Enemy unit,0,5,0,40,unit_enchant,"Weakness Realm Death Spell Rarity Common Spell Type Unit Curse Combat Cost 5 Research Cost 40 Effects If the target fails a Resistance roll at -2 , it receives the following penalties: -2 Melee Streng"
SPELL_WORD_OF_DEATH,Word of Death,death,very rare,Combat Instant,Enemy unit,0,40,0,2000,instant_damage,"Word of Death Realm Death Spell Rarity Very Rare Spell Type Combat Instant Casting Cost 40 Research Cost 2,000 Effects Each figure in the targeted unit must make a Resistance roll at a penalty of -5 ."
SPELL_WRACK,Wrack,death,rare,Combat Enchantment,--,0,40,0,960,unit_enchant,"Wrack Realm Death Spell Rarity Rare Spell Type Combat Enchantment Combat Cost 40 Research Cost 960 Effects Each turn, each and every figure in each enemy unit must make a Resistance roll at a bonus of"
SPELL_WRAITH_FORM,Wraith Form,death,rare,Unit Enchantment,Friendly unit,150,30,3,880,unit_enchant,"Wraith Form Realm Death Spell Rarity Rare Spell Type Unit Enchantment Casting Cost 150 Combat Cost 30 Upkeep Cost 3 Research Cost 880 Effects Target unit gains the Non-Corporeal ability, allowing it t"
SPELL_WRAITHS,Wraiths,death,rare,Summoning Spell,--,500,0,5,1120,summon,"Wraiths Realm Death Spell Properties Spell Rarity Rare Casting Cost 500 Upkeep Cost 5 per turn Research Cost 1,120 Unit Properties # of Figures 4 Moves 2 Melee Attack per figure 7 Defense per figure 6"
SPELL_ZOMBIE_MASTERY,Zombie Mastery,death,rare,Global Enchantment,--,800,0,40,1500,global_enchant,"Zombie Mastery Realm Death Spell Rarity Rare Spell Type Global Enchantment Casting Cost 800 Upkeep Cost 40 Research Cost 1,500 Effects At the end of every battle won by Zombie Mastery 's caster, any N"
